카페 이름,카페 주소,위도,경도,운영시간_평,운영시간_토,운영시간_일,휴무일,주차장가능여부,애견,레트로,가족,감성
절로가는길,광주 북구 무등로 1520,35.1460528,126.984622,09:30~19:00,09:30~19:00,09:30~19:00,x,Y,,1,1,
스타벅스 광주지산유원지입구점,광주 동구 무등로 592,35.1544632,126.938723,10:00~22:00,10:00~22:00,10:00~22:00,x,Y,,,1,
전망대,광주 북구 무등로 671,35.1586628,126.9408923,11:30~00:30,11:30~00:30,11:30~00:30,?,N,,1,,
1984카페,광주 북구 수리마을길 45 1층,35.8621821,129.1610866,10:00~20:30,10:00~20:30,10:00~20:30,x,Y,1,,1,1
B612카페,전남 담양군 가사문학면 가사문학로 878,35.1871383,127.001705,10:00~22:00,10:00~22:00,10:00~22:00,x,Y,,,1,
다화연,전남 담양군 가사문학면 가사문학로 751,35.1930296,126.9915356,?,12:30~22:30,12:30~22:30,?,Y,,1,1,
카페다색,전남 담양군 고서면 가사문학로 617,35.2025471,126.9871803,10:00~23:00,10:00~23:00,10:00~23:00,x,Y,,,1,
전망좋은카페,전북 군산시 옥도면 선유도3길 33-4 수산물센터 2층,35.8253416,126.4139195,10:30~19:00,09:30~20:30,09:30~20:30,?,?,,,1,
할리스커피 군산선유도점,전북 군산시 옥도면 선유북길 119,35.8140523,126.4082164,08:00~22:00,08:00~22:00,08:00~22:00,x,N,,,1,
Cafe for fall,전북 군산시 옥도면 선유북길 121-1 2층,35.8152165,126.4038929,09:00~18:00,09:00~18:00,09:00~18:00,?,N,,,,1
CAFE de SUN.U,전북 군산시 옥도면 선유북길 117,35.813954,126.4084892,?,?,?,?,N,,,,1
카페바다,전북 군산시 비응남로 97 1층?,35.9385516,126.530442,?,?,?,?,?,,,1,
수만리커피,전남 화순군 화순읍 안양산로 616-2,35.0887116,127.0211211,10:00~22:00,10:00~22:00,10:00~22:00,?,Y,1,1,1,
카페Y496,전남 화순군 화순읍 안양산로 496 2층,35.0941488,127.0055627,10:00~20:00,10:00~20:00,10:00~20:00,화요일,Y,,,1,
들국화찻집,전남 화순군 화순읍 만수길 14,35.0988487,127.000764,?,?,?,?,?,,1,1,
아트카페연인,전남 화순군 화순읍 부처샘길 3-13,35.0677589,126.9889037,12:00~24:00,12:00~24:00,12:00~24:00,?,?,,1,1,
엄지빈,전남 화순군 화순읍 진각로 168,35.0661733,126.9854489,10:00~22:00,10:00~22:00,10:00~22:00,?,?,,,1,
오키독키,전남 화순군 화순읍 자치샘로 21-9,35.0624617,126.9816083,10:00~21:00,10:00~21:00,10:00~21:00,?,?,1,,,
메종드오브제,전남 화순군 화순읍 진각로 152-4,35.0646175,126.9855547,11:00~22:00,11:00~22:00,11:00~22:00,?,?,,1,1,1
포레스트96,전남 화순군 화순읍 신기중앙길 2,35.0613393,126.521614,11:00~22:00,11:00~22:00,11:00~22:00,?,Y,,,1,1
카페동동,전남 여수시 소호로 279 제파스타 3층,34.7303847,127.6425512,11:00~22:00,11:00~22:00,11:00~22:00,월요일,Y,,,1,1
오드리햅번카페 여수점,전남 여수시 소호로 399,34.7389014,127.6474398,?,?,?,?,N,,,1,
드롭탑 여수소호점,전남 여수시 소호로 403?,34.7391315,127.6475173,10:00~23:00,10:00~23:00,10:00~23:00,x,N,,,1,
파스쿠찌 여수소호점,전남 여수시 소호로 403-1 1층,34.7392578,127.647531,10:00~00:30,10:00~00:30,10:00~00:30,x,N,,,1,
LAZY CATS,전남 여수시 소호로 405,34.7393858,127.6475403,12:00~21:00,12:00~22:00,12:00~22:00,화요일,N,1,,1,
People,전남 여수시 소호7길 6,34.7396586,127.6474157,10:00~22:00,10:00~22:00,10:00~22:00,x,N,,1,1,
마인하임,전남 여수시 소호6길 7-11 1층,34.7398895,127.6474562,11:00~17:00,11:00~17:00,11:00~17:00,?,N,,,,1
카페문,전남 여수시 소호6길 7-1 2층,34.7404694,127.6475532,12:00~23:00,12:00~23:00,12:00~23:00,x,N,,,,1
Cafe SOHO,전남 여수시 소호7길 10 1층,34.7397619,127.6469795,11:50~22:00,11:50~22:00,11:50~22:00,월요일,N,,,,1
퀸즈브라운 여수소호점,전남 여수시 소호5길 6,34.7438128,127.6490342,10:00~22:00,10:00~22:00,10:00~22:00,"수요일(2,4째주)",N,,,1,
할리스커피 여수소호점,전남 여수시 소호로 455-1,34.7438361,127.6492787,09:30~24:00,09:30~24:00,09:30~24:00,x,N,,,1,
이디야커피 여수소호점,전남 여수시 소호로 481,34.7454548,127.6510598,09:30~23:00,09:30~23:00,09:30~23:00,x,N,,,1,
Dalkomm Coffee,전남 여수시 소호로 482,34.7451901,127.651489,10:00~24:00,10:00~24:00,10:00~24:00,x,N,,,1,
티엘블루,전남 순천시 해룡면 와온길 91,34.8535111,127.5214059,10:00~21:00,10:00~21:00,10:00~21:00,?,Y,,1,1,1
나훔,전남 순천시 해룡면 와온길 151,34.8437482,127.5260579,12:30~19:00,12:30~19:00,12:30~19:00,화요일,N,,,1,1
공이일오,전남 광양시 항만9로 144,34.9277944,127.6965168,11:00~22:00,11:00~22:00,11:00~22:00,월요일,Y,,,,1
달님에게드린초록빛차한잔,전남 광양시 항만13로 40,34.9273258,127.6966006,?,?,?,?,?,,1,1,
카와팩토리,전남 광양시 항만9로 129,34.9268437,127.6955801,10:00~22:00,10:00~22:00,10:00~22:00,?,?,,1,1,
카페봄,전남 광양시 항만13로 7-8,34.9258325,127.6964003,10:00~23:00,10:00~23:00,10:00~23:00,?,?,,,,1
모먼트,전남 광양시 길호1길 1,34.9309652,127.6955759,09:00~24:00,09:00~24:00,09:00~24:00,?,?,,,1,
가버나움,전북 임실군 운암면 국사봉로 639,35.641262,127.147562,?,?,?,?,Y,,1,1,
오스하우스,전북 임실군 운암면 구이로 28,35.611343,127.10572,10:30~20:00,10:30~20:00,10:30~20:00,?,Y,,,1,1
카페고투비밀의정원,전북 임실군 운암면 구이로 12 운암엘드호수가아파트 1층,35.610403,127.106544,?,?,?,?,Y,,,1,1
하루,전북 임실군 운암면 강운로 1175-17,35.603874,127.113242,11:00~19:00,11:00~19:00,11:00~19:00,명절,?,,1,1,
마루,전북 임실군 운암면 종운로 795,35.597239,127.10852,?,?,?,?,Y,,1,1,
미스티,전북 임실군 운암면 종운로 772,35.595416,127.108469,10:30~20:00,10:30~20:00,10:30~20:00,월요일,Y,,,,1
애뜨락,전북 임실군 운암면 운정길 70-20,35.589642,127.106077,11:00~20:00,11:00~20:00,11:00~20:00,?,Y,,1,,
코티지683,전북 임실군 운암면 운암2길 9,35.595054,127.121267,?,?,?,?,Y,,,,1
숲속의향기,전북 완주군 구이면 덕골길 7-3,35.656293,127.110241,?,?,?,?,Y,,1,,
마를린먼로,전남 영광군 백수읍 백수로 843-4,35.2831402,126.4010258,09:00~22:00,09:00~22:00,09:00~22:00,x,Y,,,1,
파스쿠찌 영광백수해안도로점,전남 영광군 백수읍 해안로 1389,35.363262,126.4136045,09:00~22:00,09:00~22:00,09:00~22:00,x,Y,,,1,
할리스커피 영광백수해안도로점,"전남 영광군 백수읍 해안로 918 1,2층",35.3126986,126.3799944,10:00~20:00,10:00~20:00,10:00~20:00,x,Y,,,1,1
레드힐커피,전남 영광군 백수읍 해안로 917 1층,35.3502381,126.3853124,10:00~19:30,10:00~20:00,10:00~20:00,x,Y,1,,1,1
뭉클,전남 영광군 백수읍 해안로 808,35.3410618,126.3855928,10:00~21:00,10:00~21:00,10:00~21:00,x,Y,,,,1
카페뜰107,전남 영광군 백수읍 해안로 693,35.3325822,126.3797692,?,?,?,?,?,,,1,1
