길이름,위도,경도,주소,야경,자연,바다,별,주소_1,위도_1,경도_1,주소_2,위도_2,경도_2,시간(min),거리(km)
영광백수해안도로,35.355184,126.3452931,전남 영광군 백수읍 대신리 산 234-11,0,0,1,0,전남 영광군 백수읍 대신리 105-3,35.355184,126.3452072,전남 영광군 백수읍 대신리 813-12,35.355184,126.3452072,9,4.3
임실 옥정호,35.5891836,127.1075407,전북 임실군 운암면 운종리,0,1,0,0,전북 임실군 운암면 운암리 743-1,35.5989313,127.1065649,전북 임실군 운암면 용운리 460,35.6258305,127.1391787,22,9.5
광주 무등산 원효사,35.1487118,126.9595835,광주 북구 무등로 1514-35,1,1,0,1,광주 북구 금곡동 산 163-8,35.1617132,126.9783272,광주 북구 금곡동 산 209-13,35.1488655,126.9855189,10,3
광주 무등산 충장사,35.1625749,126.9774281,광주 북구 송강로 13,1,1,0,1,광주 동구 산수동 산 52-10,35.1557283,126.9407218,광주 북구 금곡동 867-2,35.1626918,126.9772294,19,6.6
순천 와온해변,34.846409,127.525379,전남 순천시 해룡면 상내리,0,0,1,0,전남 순천시 해룡면 상내리 861,34.8451788,127.5375792,전남 순천시 해룡면 상내리 822,34.8494477,127.5217497,3,2.2
여수 소호해안도로,34.744659,127.6507406,전남 여수시 소호동,0,0,1,0,전남 여수시 학동 189,34.7575187,127.6606928,전남 여수시 소호동 1191,34.7246363,127.6381808,14,4.2
여수 돌산대교,34.7307224,127.7323956,전남 여수시 남산동,1,0,1,0,전남 여수시 봉산동 200-7,34.736872,127.7192794,전남 여수시 돌산읍 우두리 794-88,34.7106072,127.7504727,6,2.9
여수 마래터널,34.7639553,127.7484112,전남 여수시 만흥동,0,1,0,0,전남 여수시 덕충동 61-16,34.7525752,127.7470986,전남 여수시 만흥동 산 240-3,34.7727929,127.7354525,3,3.1
부안 새만금 1호 방조제,35.82124,126.482747,전북 부안군 변산면 대항리 589,0,0,1,0,전북 부안군 변산면 대항리 580,35.7080543,126.497925,전북 군산시 비응도동 36-6,35.9528273,126.4967782,54,48.6
여수 달천해안도로,34.7644453,127.5656991,전남 여수시 소라면 복산리,0,0,1,0,전남 여수시 소라면 복산리 산 378-6,34.7689493,127.5792331,전남 여수시 소라면 복산리 1632-1,34.7716828,127.5722634,15,5.2
광주호,35.1879307,126.9861403,전남 담양군 가사문학면 학선리,0,1,0,0,전남 담양군 고서면 분향리 121-6,35.2026482,126.986542,광주 북구 덕의동 36-34,35.18174744,126.9926748,9,4
순천 주암호,34.9892369,127.2111158,전남 순천시 송광면 신평리,0,1,0,0,전남 순천시 송광면 후곡리 775-2,35.0138737,127.2089907,전남 순천시 송광면 오봉리 산 128-9,35.0335219,127.2552425,13,10.8
이순신대교,34.905195,127.7027583,전남 여수시 묘도동,1,0,1,0,전남 광양시 황금동 851-76,34.9110924,127.6269231,전남 여수시 중흥동 1703-1,34.8054597,127.640092,26,20.4
지리산 노고단,35.2938871,127.5149904,전남 구례군 토지면 문수리,1,1,0,0,전남 구례군 산동면 좌사리 산 110-16,35.3153584,127.5607496,전남 구례군 토지면 문수리 산 17,35.230184,127.5333018,22,3.6
화순 양떼목장,35.0948162,127.0101465,전남 화순군 화순읍 안양산로 537,0,1,0,0,전남 화순군 화순읍 유천리 380-1,,,전남 화순군 이서면 안심리 산 168,,,11,6.8
장성 서산교,35.351248,126.755297,전남 장성군 서삼면 대덕리,1,1,0,0,전남 장성군 서삼면 대덕리 774,,,전남 장성군 서삼면 장산리 340-1,,,3,1.2
