성향,길,카페
외향적,광주호,B612카페
외향적,부안새만금,Cafe for fall
외향적,양떼목장,"수만리커피,포레스트96"
외향적,여수소호해안도로,"마인하임,이디야커피 여수소호점,할리스커피 여수소호점"
외향적,영광백수해안도로,레드힐커피
외향적,임실옥정호,"미스티,오스하우스"
외향적,와온해변,티엘블루
외향적,이순신대교,"공이일오,모먼트"
외향적,돌산대교,x
외향적,지리산노고단,x
외향적,장성서삼교,x
외향적,순천주암호,x
외향적,여수마래터널,x
외향적,여수달천해안도로,x
외향적,광주충장사,스타벅스 광주지산유원입구점
외향적,광주원효사,x
내성적,광주호,카페다색
내성적,부안새만금,카페바다
내성적,양떼목장,"아트카페연인,카페Y496"
내성적,여수소호해안도로,"Cafe SOHO,LAZY CATS,드롭탑 여수소호점,오드리햅번카페 여수점,파스쿠찌 여수소호점"
내성적,영광백수해안도로,"마를린먼로,파스쿠찌 영광백수해안도로점"
내성적,임실옥정호,"카페고투비밀의정원,하루"
내성적,와온해변,나훔
내성적,이순신대교,카페봄
내성적,돌산대교,x
내성적,지리산노고단,x
내성적,장성서삼교,x
내성적,순천주암호,x
내성적,여수마래터널,x
내성적,여수달천해안도로,x
내성적,광주충장사,전망대
내성적,광주원효사,절로가는길
개방적,광주호,1984카페
개방적,부안새만금,"CAFE de SUN.U,할리스커피 군산선유도점"
개방적,양떼목장,"메종드오브제,엄지빈,오키독키"
개방적,여수소호해안도로,"카페동동,카페문,퀸즈브라운 여수소호점"
개방적,영광백수해안도로,"뭉클,카페뜰107"
개방적,임실옥정호,"마루,애뜨락,코티지683"
개방적,와온해변,나훔
개방적,이순신대교,"공이일오,카와팩토리"
개방적,돌산대교,x
개방적,지리산노고단,x
개방적,장성서삼교,x
개방적,순천주암호,x
개방적,여수마래터널,x
개방적,여수달천해안도로,x
개방적,광주충장사,스타벅스 광주지산유원지입구점
개방적,광주원효사,x
폐쇄적,광주호,다화연
폐쇄적,부안새만금,전망좋은카페
폐쇄적,양떼목장,들국화찻집
폐쇄적,여수소호해안도로,"People,Dalkomm Coffee"
폐쇄적,영광백수해안도로,할리스커피 영광백수해안도로점
폐쇄적,임실옥정호,"가버나움,숲속의향기"
폐쇄적,와온해변,티엘블루
폐쇄적,이순신대교,달님에게드린초록빛차한잔
폐쇄적,돌산대교,x
폐쇄적,지리산노고단,x
폐쇄적,장성서삼교,x
폐쇄적,순천주암호,x
폐쇄적,여수마래터널,x
폐쇄적,여수달천해안도로,x
폐쇄적,광주충장사,전망대
폐쇄적,광주원효사,절로가는길
