동승자,테마,관광지,길코스
연인,자연,1,"광주 충장사,광주호,양떼목장"
연인,자연,0,지리산노고단
연인,야경,1,"영광백수해안도로,광주 충장사,돌산대교"
연인,야경,0,"광주 원효사,지리산노고단"
연인,바다,1,"영광백수해안도로,여수소호해안도로"
연인,바다,0,와온해변
연인,별,1,광주 충장사
연인,별,0,광주 원효사
가족,자연,1,"임실옥정호,광주호,양떼목장"
가족,자연,0,"와온해변,순천 주암호,여수 마래터널"
가족,야경,1,"영광백수해안도로,돌산대교"
가족,야경,0,"이순신대교,지리산노고단,장성 서삼교"
가족,바다,1,영광백수해안도로
가족,바다,0,부안새만금
가족,별,1,광주 충장사
가족,별,0,광주 원효사
친구,자연,1,"광주 충장사,광주호,양떼목장"
친구,자연,0,광주 원효사
친구,야경,1,영광백수해안도로
친구,야경,0,"이순신대교,지리산노고단,장성 서삼교"
친구,바다,1,"영광백수해안도로,여수소호해안도로"
친구,바다,0,여수 달천해안도로
친구,별,1,광주 충장사
친구,별,0,광주 원효사
